dtype,dose,metric,geometry,ls_median,huber_median,huber_over_ls,bound_fraction
D1_appendage_disp,50,et_mm,GA,39.16299536763985,43.70996735258336,1.1161037847656732,0.0
D1_appendage_disp,50,et_mm,GB,39.46576946794377,42.75337415090006,1.0833026880579804,0.0
D1_appendage_disp,50,et_mm,GC,11.779784794156786,2.0946431260183314,0.17781675664035498,0.0
D5_appendage_tilt,2,eR_deg,GA,1.4960844839000798,1.4960508738262892,0.9999775346418253,0.0
D5_appendage_tilt,2,eR_deg,GB,1.2749627795084146,1.2760306531090504,1.0008375723729344,0.0
D5_appendage_tilt,2,eR_deg,GC,0.08431553619308099,0.0841125416546861,0.9975924420627529,0.0
D2_missing_component,1,et_mm,GA,324.7052963979644,11.601123869756673,0.035728163348275464,1.0
D2_missing_component,1,et_mm,GB,300.0,320.5829170752413,1.0686097235841376,1.0
D2_missing_component,1,et_mm,GC,18.247626787018834,1.3005263512712442,0.07127098589041862,0.0
D3_local_surface_off,100,et_mm,GA,2.3499286835345243,0.5016187174619418,0.21346125138889652,0.0
D3_local_surface_off,100,et_mm,GB,13.845619655957329,1.1483334618013723,0.08293839426011396,0.0
D3_local_surface_off,100,et_mm,GC,48.49455002424759,8.131069192507194,0.16766975234210044,0.0
